UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN
468909,R,838,R,476,R,362,R,4,R,2,R,2,R,13,R,10,R,3,R,7,R,6,R,1,R,191,R,94,R,97,R,3,R,3,R,0,R,26,R,13,R,13,R,1,R,0,R,1,R,593,R,348,R,245,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,838.0
468963,R,523,R,490,R,33,R,0,R,0,R,0,R,5,R,4,R,1,R,89,R,87,R,2,R,192,R,181,R,11,R,0,R,0,R,0,R,212,R,195,R,17,R,4,R,4,R,0,R,21,R,19,R,2,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,523.0
469416,R,93,R,44,R,49,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,93,R,44,R,49,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,93.0
469610,R,11,R,1,R,10,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,7,R,1,R,6,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,11.0
469629,R,103,R,92,R,11,R,26,R,22,R,4,R,4,R,4,R,0,R,12,R,11,R,1,R,13,R,12,R,1,R,1,R,1,R,0,R,43,R,39,R,4,R,0,R,0,R,0,R,4,R,3,R,1,R,0,R,0,R,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,103.0
469911,R,130,R,3,R,127,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,74,Z,0,R,74,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,56,R,3,R,53,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,130.0
470038,R,1155,R,581,R,574,R,5,R,4,R,1,R,7,R,3,R,4,R,51,R,20,R,31,R,417,R,207,R,210,R,3,R,1,R,2,R,42,R,25,R,17,R,5,R,4,R,1,R,625,R,317,R,308,R,0,R,0,R,0,R,1.0,A,,R,1.0,A,,A,,A,,R,1,A,,R,1.0,R,1154.0
470047,R,24,R,6,R,18,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,19,R,4,R,15,R,3,R,1,R,2,R,0,R,0,Z,0,Z,0,Z,0,Z,0,R,0.0,R,0.0,R,0.0,A,,A,,A,,R,0,R,0.0,R,0.0,R,24.0
470296,R,9,R,1,R,8,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,5,R,1,R,4,Z,0,Z,0,Z,0,R,3,Z,0,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,9.0
470393,R,91,R,5,R,86,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,43,Z,0,R,43,R,29,R,1,R,28,Z,0,Z,0,Z,0,R,10,R,2,R,8,R,5,R,1,R,4,Z,0,Z,0,Z,0,R,3,R,1,R,2,R,0.0,A,,R,0.0,A,,A,,A,,R,0,A,,R,0.0,R,91.0
