UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN
366571,R,11,R,3,R,8,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,10,R,2,R,8,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,11.0
366623,R,109,R,43,R,66,R,3,R,2,R,1,R,0,R,0,R,0,R,1,R,1,R,0,R,17,R,5,R,12,R,0,R,0,R,0,R,81,R,31,R,50,R,3,R,1,R,2,R,4,R,3,R,1,R,0,R,0,R,0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0,R,0.0,R,0.0,R,109.0
366711,R,3902,R,1397,R,2505,R,8,R,1,R,7,R,414,R,167,R,247,R,123,R,50,R,73,R,1787,R,530,R,1257,R,13,R,2,R,11,R,1148,R,470,R,678,R,192,R,66,R,126,R,151,R,74,R,77,R,66,R,37,R,29,R,377.0,R,11.0,R,388.0,R,58.0,S,,S,,R,435,S,,S,,S,
367051,R,31,R,1,R,30,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,8,Z,0,R,8,R,6,Z,0,R,6,Z,0,Z,0,Z,0,R,17,R,1,R,16,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,31.0
367088,R,73,R,1,R,72,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,4,Z,0,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,68,R,1,R,67,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,Z,0.0,A,,Z,0.0,R,0,A,,R,0.0,R,73.0
367103,R,18,R,13,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,8,R,6,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,10,R,7,R,3,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,18.0
367112,R,94,R,34,R,60,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,76,R,28,R,48,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,12,R,5,R,7,R,6,R,1,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,94.0
367158,R,46,R,1,R,45,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,7,Z,0,R,7,R,5,Z,0,R,5,Z,0,Z,0,Z,0,R,12,R,1,R,11,R,1,Z,0,R,1,R,20,R,0,R,20,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,46.0
367334,R,217,R,190,R,27,R,5,R,4,R,1,R,7,R,7,Z,0,R,53,R,42,R,11,R,22,R,21,R,1,Z,0,Z,0,Z,0,R,114,R,103,R,11,R,2,R,2,Z,0,R,14,R,11,R,3,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,Z,0.0,A,,Z,0.0,R,0,A,,R,0.0,R,217.0
367361,R,11,R,7,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,5,R,4,R,1,R,5,R,2,R,3,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,11.0
367431,R,21,Z,0,R,21,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,19,Z,0,R,19,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,21.0
367459,R,1000,R,353,R,647,R,11,R,3,R,8,R,26,R,8,R,18,R,18,R,9,R,9,R,219,R,73,R,146,R,3,R,2,R,1,R,648,R,231,R,417,R,52,R,15,R,37,R,11,R,5,R,6,R,12,R,7,R,5,R,9.0,A,,R,9.0,Z,0.0,A,,Z,0.0,R,9,A,,R,9.0,R,991.0
367875,C,92,C,61,R,31,R,0,R,0,R,0,R,1,R,0,R,1,C,33,C,14,C,19,R,42,C,34,C,8,R,0,R,0,R,0,R,15,R,13,R,2,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,C,92.0
367884,R,201,R,57,R,144,R,0,R,0,R,0,R,2,R,1,R,1,R,21,R,3,R,18,R,78,R,22,R,56,R,0,R,0,R,0,R,57,R,20,R,37,R,1,R,1,R,0,R,38,R,9,R,29,R,4,R,1,R,3,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,201.0
367954,R,1751,R,490,R,1261,R,2,R,0,R,2,R,191,R,49,R,142,R,118,R,34,R,84,R,289,R,87,R,202,R,7,R,5,R,2,R,716,R,166,R,550,R,34,R,11,R,23,R,385,R,134,R,251,R,9,R,4,R,5,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0,R,0.0,R,0.0,R,1751.0
367972,R,104,R,3,R,101,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,47,R,1,R,46,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,53,R,2,R,51,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,104.0
367981,R,28,R,0,R,28,R,0,R,0,R,0,R,0,R,0,R,0,R,7,R,0,R,7,R,9,R,0,R,9,R,0,R,0,R,0,R,12,R,0,R,12,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,28.0
368230,R,41,R,0,R,41,R,0,R,0,R,0,R,0,R,0,R,0,R,26,R,0,R,26,R,3,R,0,R,3,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,11,R,0,R,11,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,41.0
368364,R,170,R,78,R,92,R,2,R,1,R,1,R,0,R,0,R,0,R,3,R,2,R,1,R,32,R,15,R,17,R,0,R,0,R,0,R,105,R,45,R,60,R,28,R,15,R,13,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,170.0
368407,R,6,R,0,R,6,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,5,R,0,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,Z,0.0,A,,Z,0.0,R,0,A,,R,0.0,R,6.0
368452,R,35,R,13,R,22,R,0,R,0,R,0,R,0,R,0,R,0,R,5,R,3,R,2,R,1,R,0,R,1,R,0,R,0,R,0,R,29,R,10,R,19,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0,A,,R,0.0,R,35.0
