UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL,cluster,similarity
117247,0.3660062565172054,0.31,0.2015518196933308,0.76526184,9328,Far Cluster,-0.10229264288466627
117690,0.4058205335489086,0.36,0.2137000793440888,0.761895152,9463,Far Cluster,-0.1051702892120232
170550,0.5072,0.3,0.1767222935387248,1.487794999,4036,Far Cluster,-0.10926100065104695
126119,0.5307994757536042,0.4,0.2745021475985943,1.223731959,6320,Far Cluster,-0.1204123453230721
455512,0.5078809106830122,0.43,0.2257687816270922,1.483695738,4128,Far Cluster,-0.1366912131768687
169275,0.5314443676572218,0.32,0.2092473844076949,1.103109493,6718,Far Cluster,-0.14541249976501297
165033,0.4948382656572608,0.22,0.2973439116936874,0.983074483,6950,Far Cluster,-0.17700075756712577
189547,0.4317773788150807,0.23,0.3367041198501873,1.180829085,5327,Far Cluster,-0.17713723428977968
102067,0.5401234567901234,0.3,0.2123799359658484,1.342579067,4601,Far Cluster,-0.18406845192453875
118930,0.471900089,0.39,0.17906852248394,0.989911586,6909,Far Cluster,-0.18517744321058352
170541,0.5691542288557214,0.28,0.2107859256823413,1.052217455,6334,Far Cluster,-0.20407230255668943
121363,0.2117962466487935,0.34,0.3544207317073171,0.901137569,4784,Far Cluster,-0.21049236452381329
122746,0.4219464402351404,0.34,0.2441675503711559,0.63064837,8609,Far Cluster,-0.21086191077108749
113111,,0.31,0.321278385197645,1.014633803,6768,Far Cluster,-0.21502355270263307
209250,,0.24,0.2377392344497607,0.971913447,6476,Far Cluster,-0.23233239029196376
215585,0.5486033519553073,0.34,0.2071516646115906,1.170683924,5369,Far Cluster,-0.24324482918412538
113218,0.5539257981018119,0.41,0.2523300750170493,0.574102784,8905,Far Cluster,-0.24622917808691636
209940,0.4563206577595067,0.09,0.2047153536515238,1.086252381,4009,Far Cluster,-0.2642160432184233
144184,0.5321969696969697,0.32,0.2342814371257485,0.845448488,6839,Far Cluster,-0.28912019686932117
108667,0.391025641,0.33,0.2078832116788321,0.786492362,6141,Far Cluster,-0.2915813281271805
112826,0.5337349397590362,0.28,0.2332155477031802,0.86849068,6538,Far Cluster,-0.2942616663885767
166823,0.5536529680365296,0.19,0.2592865023905847,0.979786431,5574,Far Cluster,-0.2943421198531154
167312,0.5316606929510155,0.18,0.2821192052980132,0.946725478,5743,Far Cluster,-0.2945997791587374
