UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL
227377,0.6065057712486883,0.3,0.3426724137931034,1.955803254,8828
228608,0.5252659574468085,0.32,0.2006825938566553,1.780380573,5274
228699,0.4241645244215938,0.47,0.4523281596452328,2.483239252,4290
229540,0.5583941605839416,0.29,0.3033788641265277,1.066717548,3276
230418,0.40963855421686746,0.43,0.26936744847192606,,7594
231697,0.5177419354838709,0.45,0.31746031746031744,3.452029964,3481
232414,0.5429314830875975,0.32,0.22663168251885865,2.207609947,8681
232450,0.5598824393828068,0.38,0.2767481044650379,2.077393881,9380
233082,,,0.7246376811594203,,151
233116,0.5636114911080712,0.39,0.3412135539795114,1.781185344,5263
233408,,1,0.8613861386138614,,350
233754,0.49344978165938863,0.34,0.21665560716655607,1.509240015,6410
233903,0.5390625,0.4,0.3367952522255193,2.095821223,2082
233949,0.546112116,0.4,0.36856981345392875,1.974793544,6332
235149,,0.37,0.4275694245634125,1.260960003,6698
235671,,0.43,0.5108571428571429,1.276100494,4083
235750,,0.23,0.42374727668845313,0.923107634,2724
236610,,0.29,0.47145922746781116,1.112679801,4477
236656,,0.44,0.45401493930905695,0.997449302,4871
237437,,0.25,0.25732899022801303,,182
238014,0.6182572614107884,0.33,0.34225352112676055,1.232864839,1525
238397,0.5555555555555556,0.34,0.4342857142857143,1.723923262,2811
238722,0.6973293768545994,0.65,0.6631757712991792,1.914710077,10670
238759,0.6543624161073825,0.51,0.500225938,2.150877856,10100
239372,0.7647058823529411,0.58,0.6150234741784038,2.046764246,4171
239460,0.5306799336650083,0.45,0.5024015369836695,2.062462215,6746
239488,0.6292834890965732,0.51,0.504012228,1.917340282,11826
240116,0.6601842374616171,0.5,0.5492424242424242,2.526044292,8330
240125,0.7341115434500648,0.44,0.4953802416488984,2.312688332,8367
240170,0.4600985221674877,0.34,0.5353185595567868,1.605389142,3625
240505,0.6062992125984252,0.43,0.43730569948186526,1.132543417,3403
240745,,0.25,0.22116301239275502,0.635711088,1430
242042,0.8071428571428572,0.34,0.9176090468497576,4.731988386,323
242130,0.5740740740740741,0.6,0.3176470588235294,,339
242149,0.45384615384615384,0.67,0.31952662721893493,,373
